DATE,INSURER,2017 HYUNDAI SONATA,2020 TOYOTA TACOMA,2012 CHEVY CRUZE,2016 TOYOTA COROLLA,2003 HONDA ACCORD,TOTAL
9/30/2020,ALLSTATE,427.44,507.37,,,,934.81 
4/2/2021,ALLSTATE,471.24,569.14,,,,1040.38
5/1/2021,ALLSTATE,515.87,609.99,345.90,,,1471.76
10/5/2021,ALLSTATE,515.87,611.96,345.90,,,1473.73
3/4/2022,ALLSTATE,688.08,741.65,479.80,,,1909.53
3/10/2022,ALLSTATE,677.24,732.67,472.00,,,1881.91
4/2/2022,ALLSTATE,820.45,918.97,580.56,,,2319.98
10/6/2022,ALLSTATE,1020.97,1112.75,758.72,,,2892.44
10/29/2022,ALLSTATE,1105.87,1184.27,,,,2290.14
1/18/2023,ALLSTATE,828.38,929.10,,692.67,,2450.15
4/4/2023,ALLSTATE,982.56,1127.59,,821.15,,2931.30
8/25/2023,ALLSTATE,845.89,989.83,,,728.36,2564.08
9/7/2023,ALLSTATE,801.27,940.32,,,690.92,2432.51
10/4/2023,ALLSTATE,1281.36,1416.30,,,1134.89,3832.55
4/3/2024,ALLSTATE,1375.65,1417.50,,,1132.26,3925.41
10/3/2024,ALLSTATE,1723.15,1459.58,,,1291.99,4474.72
10/31/2024,PROGRESSIVE,1544.00,1344.00,,,451,3339.00
